Act Title,PDF URL
Accountants Act 2004,https://sso.agc.gov.sg/Act/AA2004?ViewType=Pdf&_=20250102161905
Accounting and Corporate Regulatory Authority Act 2004,https://sso.agc.gov.sg/Act/ACRAA2004?ViewType=Pdf&_=20250521025249
Accounting Standards Act 2007,https://sso.agc.gov.sg/Act/ASA2007?ViewType=Pdf&_=20250509142823
Active Mobility Act 2017,https://sso.agc.gov.sg/Act/AMA2017?ViewType=Pdf&_=20241129120902
Administration of Justice (Protection) Act 2016,https://sso.agc.gov.sg/Act/AJPA2016?ViewType=Pdf&_=20250320032915
Administration of Muslim Law Act 1966,https://sso.agc.gov.sg/Act/AMLA1966?ViewType=Pdf&_=20250519183704
Adoption of Children Act 2022,https://sso.agc.gov.sg/Act/ACA2022?ViewType=Pdf&_=20250509142536
Advance Medical Directive Act 1996,https://sso.agc.gov.sg/Act/AMDA1996?ViewType=Pdf&_=20241205145424
"Agency for Science, Technology and Research Act 1990",https://sso.agc.gov.sg/Act/ASTRA1990?ViewType=Pdf&_=20240110030907
Air Navigation Act 1966,https://sso.agc.gov.sg/Act/ANA1966?ViewType=Pdf&_=20241129222842
Allied Health Professions Act 2011,https://sso.agc.gov.sg/Act/AHPA2011?ViewType=Pdf&_=20250117024407
Amusement Rides Safety Act 2011,https://sso.agc.gov.sg/Act/ARSA2011?ViewType=Pdf&_=20240725012130
Animals and Birds Act 1965,https://sso.agc.gov.sg/Act/ABA1965?ViewType=Pdf&_=20241227010040
Apostille Act 2020,https://sso.agc.gov.sg/Act/AA2020?ViewType=Pdf&_=20250509132901
Application of English Law Act 1993,https://sso.agc.gov.sg/Act/AELA1993?ViewType=Pdf&_=20240118024833
Apportionment Act 1928,https://sso.agc.gov.sg/Act/AA1928?ViewType=Pdf&_=20230623214335
Apportionment of Rents Act 1909,https://sso.agc.gov.sg/Act/ARA1909?ViewType=Pdf&_=20240213201118
Appraisers Act 1906,https://sso.agc.gov.sg/Act/AA1906?ViewType=Pdf&_=20240203013120
Arbitration (International Investment Disputes) Act 1968,https://sso.agc.gov.sg/Act/AIIDA1968?ViewType=Pdf&_=20250108015424
Arbitration Act 2001,https://sso.agc.gov.sg/Act/AA2001?ViewType=Pdf&_=20250403160141
Architects Act 1991,https://sso.agc.gov.sg/Act/AA1991?ViewType=Pdf&_=20250113110147
Arms and Explosives Act 1913,https://sso.agc.gov.sg/Act/AEA1913?ViewType=Pdf&_=20250403160141
Arms Offences Act 1973,https://sso.agc.gov.sg/Act/AOA1973?ViewType=Pdf&_=20250403160141
Asian Development Bank Act 1966,https://sso.agc.gov.sg/Act/ADBA1966?ViewType=Pdf&_=20241004121436
Asian Infrastructure Investment Bank Act 2015,https://sso.agc.gov.sg/Act/AIIBA2015?ViewType=Pdf&_=20240321165208
Attorney-General (Additional Functions) Act 2014,https://sso.agc.gov.sg/Act/AGAFA2014?ViewType=Pdf&_=20250509142823
Audit Act 1966,https://sso.agc.gov.sg/Act/AA1966?ViewType=Pdf&_=20240228144252
Banking Act 1970,https://sso.agc.gov.sg/Act/BA1970?ViewType=Pdf&_=20250308213712
Bills of Exchange Act 1949,https://sso.agc.gov.sg/Act/BEA1949?ViewType=Pdf&_=20240731031906
Bills of Lading Act 1992,https://sso.agc.gov.sg/Act/BLA1992?ViewType=Pdf&_=20230613150626
Bills of Sale Act 1886,https://sso.agc.gov.sg/Act/BSA1886?ViewType=Pdf&_=20250115024520
Biological Agents and Toxins Act 2005,https://sso.agc.gov.sg/Act/BATA2005?ViewType=Pdf&_=20250204112813
Bishop of Singapore Ordinance 1911,https://sso.agc.gov.sg/Act/BSO1911?ViewType=Pdf&_=20221005004320
Boundaries and Survey Maps Act 1998,https://sso.agc.gov.sg/Act/BSMA1998?ViewType=Pdf&_=20230727135904
Boy Scouts Association Act 1926,https://sso.agc.gov.sg/Act/BSAA1926?ViewType=Pdf&_=20240916204331
Bretton Woods Agreements Act 1966,https://sso.agc.gov.sg/Act/BWAA1966?ViewType=Pdf&_=20240916211352
Broadcasting Act 1994,https://sso.agc.gov.sg/Act/BA1994?ViewType=Pdf&_=20250220020137
Brothers of St. Gabriel Ordinance 1950,https://sso.agc.gov.sg/Act/BSGO1950?ViewType=Pdf&_=20250529123144
Building and Construction Authority Act 1999,https://sso.agc.gov.sg/Act/BCAA1999?ViewType=Pdf&_=20240629025516
Building and Construction Industry Security of Payment Act 2004,https://sso.agc.gov.sg/Act/BCISPA2004?ViewType=Pdf&_=20230420164646
Building Control Act 1989,https://sso.agc.gov.sg/Act/BCA1989?ViewType=Pdf&_=20250425134144
Building Maintenance and Strata Management Act 2004,https://sso.agc.gov.sg/Act/BMSMA2004?ViewType=Pdf&_=20250308213712
Bus Services Industry Act 2015,https://sso.agc.gov.sg/Act/BSIA2015?ViewType=Pdf&_=20250328183657
Business Names Registration Act 2014,https://sso.agc.gov.sg/Act/BNRA2014?ViewType=Pdf&_=20250509195508
Business Trusts Act 2004,https://sso.agc.gov.sg/Act/BTA2004?ViewType=Pdf&_=20250308213730
Carbon Pricing Act 2018,https://sso.agc.gov.sg/Act/CPA2018?ViewType=Pdf&_=20241231162044
CareShield Life and Long-Term Care Act 2019,https://sso.agc.gov.sg/Act/CLLTCA2019?ViewType=Pdf&_=20241115112552
"Carriage by Air (Montreal Convention, 1999) Act 2007",https://sso.agc.gov.sg/Act/CAMC1999A2007?ViewType=Pdf&_=20250318190812
Carriage by Air Act 1988,https://sso.agc.gov.sg/Act/CAA1988?ViewType=Pdf&_=20240703191129
Carriage of Goods by Sea Act 1972,https://sso.agc.gov.sg/Act/CGSA1972?ViewType=Pdf&_=20250102155036
Casino Control Act 2006,https://sso.agc.gov.sg/Act/CCA2006?ViewType=Pdf&_=20250102161918
Census Act 1973,https://sso.agc.gov.sg/Act/CA1973?ViewType=Pdf&_=20250127184213
Central Provident Fund Act 1953,https://sso.agc.gov.sg/Act/CPFA1953?ViewType=Pdf&_=20250523170729
Central Sikh Gurdwara Board Act 1981,https://sso.agc.gov.sg/Act/CSGBA1981?ViewType=Pdf&_=20241227210654
Charities Act 1994,https://sso.agc.gov.sg/Act/CA1994?ViewType=Pdf&_=20241231205840
Chemical Weapons (Prohibition) Act 2000,https://sso.agc.gov.sg/Act/CWPA2000?ViewType=Pdf&_=20250503031845
Child Development Co-Savings Act 2001,https://sso.agc.gov.sg/Act/CDCSA2001?ViewType=Pdf&_=20250509195445
Children and Young Persons Act 1993,https://sso.agc.gov.sg/Act/CYPA1993?ViewType=Pdf&_=20250308213730
Chit Funds Act 1971,https://sso.agc.gov.sg/Act/CFA1971?ViewType=Pdf&_=20250507203114
Choice of Court Agreements Act 2016,https://sso.agc.gov.sg/Act/CCAA2016?ViewType=Pdf&_=20241227210915
Christian Brothers’ Schools Visitor Ordinance 1915,https://sso.agc.gov.sg/Act/CBSVO1915?ViewType=Pdf&_=20240205130525
Civil Aviation Authority of Singapore Act 2009,https://sso.agc.gov.sg/Act/CAASA2009?ViewType=Pdf&_=20250328160606
Civil Defence Act 1986,https://sso.agc.gov.sg/Act/CDA1986?ViewType=Pdf&_=20240601033052
Civil Defence Shelter Act 1997,https://sso.agc.gov.sg/Act/CDSA1997?ViewType=Pdf&_=20240319140859
Civil Law Act 1909,https://sso.agc.gov.sg/Act/CLA1909?ViewType=Pdf&_=20250507130548
Civil List and Gratuity Act 1970,https://sso.agc.gov.sg/Act/CLGA1970?ViewType=Pdf&_=20230721181707
Civil Service College Act 2001,https://sso.agc.gov.sg/Act/CSCA2001?ViewType=Pdf&_=20250308182000
Commodity Trading Act 1992,https://sso.agc.gov.sg/Act/CTA1992?ViewType=Pdf&_=20241217154922
Common Services Tunnels Act 2018,https://sso.agc.gov.sg/Act/CSTA2018?ViewType=Pdf&_=20241016125559
Communicable Diseases Agency Act 2025,https://sso.agc.gov.sg/Act/CDAA2025?ViewType=Pdf&_=20250509142823
Community Care Endowment Fund Act 2005,https://sso.agc.gov.sg/Act/CCEFA2005?ViewType=Pdf&_=20231129172641
Community Disputes Resolution Act 2015,https://sso.agc.gov.sg/Act/CDRA2015?ViewType=Pdf&_=20250509142823
Community Mediation Centres Act 1997,https://sso.agc.gov.sg/Act/CMCA1997?ViewType=Pdf&_=20250509142823
Companies Act 1967,https://sso.agc.gov.sg/Act/CoA1967?ViewType=Pdf&_=20250529104638
Competition Act 2004,https://sso.agc.gov.sg/Act/CA2004?ViewType=Pdf&_=20250102154455
Compulsory Education Act 2000,https://sso.agc.gov.sg/Act/CEA2000?ViewType=Pdf&_=20240102191529
Computer Misuse Act 1993,https://sso.agc.gov.sg/Act/CMA1993?ViewType=Pdf&_=20240213154506
Constitution of the Republic of Singapore,https://sso.agc.gov.sg/Act/CONS1963?ViewType=Pdf&_=20241227213900
Consumer Protection (Fair Trading) Act 2003,https://sso.agc.gov.sg/Act/CPFTA2003?ViewType=Pdf&_=20250308213730
Consumer Protection (Trade Descriptions and Safety Requirements) Act 1975,https://sso.agc.gov.sg/Act/CPTDSRA1975?ViewType=Pdf&_=20231207211548
Contracts (Rights of Third Parties) Act 2001,https://sso.agc.gov.sg/Act/CRTPA2001?ViewType=Pdf&_=20241129122738
Contributory Negligence and Personal Injuries Act 1953,https://sso.agc.gov.sg/Act/CNPIA1953?ViewType=Pdf&_=20240213154506
Control of Essential Supplies Act 1973,https://sso.agc.gov.sg/Act/CESA1973?ViewType=Pdf&_=20230621092018
Control of Manufacture Act 1959,https://sso.agc.gov.sg/Act/CMA1959?ViewType=Pdf&_=20250308213730
Control of Plants Act 1993,https://sso.agc.gov.sg/Act/CPA1993?ViewType=Pdf&_=20241115113124
Control of Vectors and Pesticides Act 1998,https://sso.agc.gov.sg/Act/CVPA1998?ViewType=Pdf&_=20250102155233
Conveyancing and Law of Property Act 1886,https://sso.agc.gov.sg/Act/CLPA1886?ViewType=Pdf&_=20241227210654
Co-operative Societies Act 1979,https://sso.agc.gov.sg/Act/CSA1979?ViewType=Pdf&_=20250308213730
Copyright Act 2021,https://sso.agc.gov.sg/Act/CA2021?ViewType=Pdf&_=20250523162559
Coroners Act 2010,https://sso.agc.gov.sg/Act/CA2010?ViewType=Pdf&_=20240705153925
Corporate Bodies’ Contracts Act 1960,https://sso.agc.gov.sg/Act/CBCA1960?ViewType=Pdf&_=20220628203459
Corrosive and Explosive Substances and Offensive Weapons Act 1958,https://sso.agc.gov.sg/Act/CESOWA1958?ViewType=Pdf&_=20221012120513
"Corruption, Drug Trafficking and Other Serious Crimes (Confiscation of Benefits) Act 1992",https://sso.agc.gov.sg/Act/CDTOSCCBA1992?ViewType=Pdf&_=20250509192419
Countervailing and Anti-Dumping Duties Act 1996,https://sso.agc.gov.sg/Act/CADDA1996?ViewType=Pdf&_=20241205124926
COVID-19 (Temporary Measures) Act 2020,https://sso.agc.gov.sg/Act/COVID19TMA2020?ViewType=Pdf&_=20250308190105
Credit Bureau Act 2016,https://sso.agc.gov.sg/Act/CBA2016?ViewType=Pdf&_=20250403160141
Criminal Law (Temporary Provisions) Act 1955,https://sso.agc.gov.sg/Act/CLTPA1955?ViewType=Pdf&_=20250123183512
Criminal Procedure Code 2010,https://sso.agc.gov.sg/Act/CPC2010?ViewType=Pdf&_=20250531035025
Cross-Border Railways Act 2018,https://sso.agc.gov.sg/Act/CBRA2018?ViewType=Pdf&_=20250509195433
Currency Act 1967,https://sso.agc.gov.sg/Act/CA1967?ViewType=Pdf&_=20250507203152
Customs Act 1960,https://sso.agc.gov.sg/Act/CA1960?ViewType=Pdf&_=20250328105121
Cybersecurity Act 2018,https://sso.agc.gov.sg/Act/CA2018?ViewType=Pdf&_=20240727031612
Dangerous Fireworks Act 1972,https://sso.agc.gov.sg/Act/DFA1972?ViewType=Pdf&_=20240916204431
Daughters of Charity of the Canossian Institute Incorporation Ordinance 1949,https://sso.agc.gov.sg/Act/DCCIIO1949?ViewType=Pdf&_=20240221030446
Debt Collection Act 2022,https://sso.agc.gov.sg/Act/DCA2022?ViewType=Pdf&_=20250308183737
Debtors Act 1934,https://sso.agc.gov.sg/Act/DeA1934?ViewType=Pdf&_=20240516182633
Decorations and Uniforms Act 1922,https://sso.agc.gov.sg/Act/DUA1922?ViewType=Pdf&_=20240221123140
Deep Seabed Mining Act 2015,https://sso.agc.gov.sg/Act/DSMA2015?ViewType=Pdf&_=20240221151812
Defamation Act 1957,https://sso.agc.gov.sg/Act/DA1957?ViewType=Pdf&_=20250519132231
Defence Science and Technology Agency Act 2000,https://sso.agc.gov.sg/Act/DSTAA2000?ViewType=Pdf&_=20250308182047
Dental Registration Act 1999,https://sso.agc.gov.sg/Act/DRA1999?ViewType=Pdf&_=20240228123534
Departmental Titles (Alteration) Act 1950,https://sso.agc.gov.sg/Act/DTAA1950?ViewType=Pdf&_=20240705150034
Deposit Insurance and Policy Owners’ Protection Schemes Act 2011,https://sso.agc.gov.sg/Act/DIPOPSA2011?ViewType=Pdf&_=20250509185118
Destitute Persons Act 1989,https://sso.agc.gov.sg/Act/DPA1989?ViewType=Pdf&_=20250403160141
Development Fund Act 1959,https://sso.agc.gov.sg/Act/DFA1959?ViewType=Pdf&_=20240226181133
Developmental Investment Fund Act 2000,https://sso.agc.gov.sg/Act/DIFA2000?ViewType=Pdf&_=20250127184158
Diplomatic and Consular Officers (Oaths and Fees) Act 1968,https://sso.agc.gov.sg/Act/DCOOFA1968?ViewType=Pdf&_=20240305025446
Diplomatic and Consular Relations Act 2005,https://sso.agc.gov.sg/Act/DCRA2005?ViewType=Pdf&_=20250102161448
Distress Act 1934,https://sso.agc.gov.sg/Act/DA1934?ViewType=Pdf&_=20250529133345
District Cooling Act 2001,https://sso.agc.gov.sg/Act/DCA2001?ViewType=Pdf&_=20250523163417
District Grand Master of the Eastern Archipelago Ordinance 1939,https://sso.agc.gov.sg/Act/DGMEAO1939?ViewType=Pdf&_=20240313115543
Early Childhood Development Centres Act 2017,https://sso.agc.gov.sg/Act/ECDCA2017?ViewType=Pdf&_=20240705150613
Economic Development Board Act 1961,https://sso.agc.gov.sg/Act/EDBA1961?ViewType=Pdf&_=20240516182633
Economic Expansion Incentives (Relief from Income Tax) Act 1967,https://sso.agc.gov.sg/Act/EEIRITA1967?ViewType=Pdf&_=20250102161905
Education Act 1957,https://sso.agc.gov.sg/Act/EA1957?ViewType=Pdf&_=20250308213730
Education Endowment and Savings Schemes Act 1992,https://sso.agc.gov.sg/Act/EESSA1992?ViewType=Pdf&_=20231229163843
Education Service Incentive Payment Act 2001,https://sso.agc.gov.sg/Act/ESIPA2001?ViewType=Pdf&_=20250102161703
Electric Vehicles Charging Act 2022,https://sso.agc.gov.sg/Act/EVCA2022?ViewType=Pdf&_=20241014102042
Electricity Act 2001,https://sso.agc.gov.sg/Act/EA2001?ViewType=Pdf&_=20250102161305
Electronic Transactions Act 2010,https://sso.agc.gov.sg/Act/ETA2010?ViewType=Pdf&_=20250519191211
Employment Act 1968,https://sso.agc.gov.sg/Act/EmA1968?ViewType=Pdf&_=20240613161459
Employment Agencies Act 1958,https://sso.agc.gov.sg/Act/EAA1958?ViewType=Pdf&_=20240926201546
Employment Claims Act 2016,https://sso.agc.gov.sg/Act/ECA2016?ViewType=Pdf&_=20250328183657
Employment of Foreign Manpower Act 1990,https://sso.agc.gov.sg/Act/EFMA1990?ViewType=Pdf&_=20250102161918
Endangered Species (Import and Export) Act 2006,https://sso.agc.gov.sg/Act/ESIEA2006?ViewType=Pdf&_=20250228130405
Energy Conservation Act 2012,https://sso.agc.gov.sg/Act/ECA2012?ViewType=Pdf&_=20250228130539
Energy Market Authority of Singapore Act 2001,https://sso.agc.gov.sg/Act/EMASA2001?ViewType=Pdf&_=20250328160606
Enlistment Act 1970,https://sso.agc.gov.sg/Act/EA1970?ViewType=Pdf&_=20241205153423
Enterprise Singapore Board Act 2018,https://sso.agc.gov.sg/Act/ESBA2018?ViewType=Pdf&_=20250102154724
Environmental Protection and Management Act 1999,https://sso.agc.gov.sg/Act/EPMA1999?ViewType=Pdf&_=20250509185303
Environmental Public Health Act 1987,https://sso.agc.gov.sg/Act/EPHA1987?ViewType=Pdf&_=20250308213730
Estate Agents Act 2010,https://sso.agc.gov.sg/Act/EAA2010?ViewType=Pdf&_=20250102153219
Estate Duty Act 1929,https://sso.agc.gov.sg/Act/EDA1929?ViewType=Pdf&_=20250403160141
Evidence (Civil Proceedings in Other Jurisdictions) Act 1979,https://sso.agc.gov.sg/Act/ECPOJA1979?ViewType=Pdf&_=20250523113013
Evidence Act 1893,https://sso.agc.gov.sg/Act/EA1893?ViewType=Pdf&_=20250529104617
Exchange Control Act 1953,https://sso.agc.gov.sg/Act/ECA1953?ViewType=Pdf&_=20250102154455
Exchanges (Demutualisation and Merger) Act 1999,https://sso.agc.gov.sg/Act/EDMA1999?ViewType=Pdf&_=20241115112511
Executive Condominium Housing Scheme Act 1996,https://sso.agc.gov.sg/Act/ECHSA1996?ViewType=Pdf&_=20250403160141
Explosive Substances Act 1924,https://sso.agc.gov.sg/Act/ESA1924?ViewType=Pdf&_=20240313115549
Extradition Act 1968,https://sso.agc.gov.sg/Act/EA1968?ViewType=Pdf&_=20250509195438
Factors Act 1889,https://sso.agc.gov.sg/Act/FA1889?ViewType=Pdf&_=20220620220501
Family Justice Act 2014,https://sso.agc.gov.sg/Act/FJA2014?ViewType=Pdf&_=20241205114856
"Federal Lands Commissioner, Malaysia (Incorporation) Act 1959",https://sso.agc.gov.sg/Act/FLCMIA1959?ViewType=Pdf&_=20230420164907
Feeding Stuffs Act 1965,https://sso.agc.gov.sg/Act/FSA1965?ViewType=Pdf&_=20240812203915
Fees Act 1920,https://sso.agc.gov.sg/Act/FeA1920?ViewType=Pdf&_=20241205125035
Films Act 1981,https://sso.agc.gov.sg/Act/FA1981?ViewType=Pdf&_=20250102154150
Finance Companies Act 1967,https://sso.agc.gov.sg/Act/FCA1967?ViewType=Pdf&_=20240731033234
Financial Advisers Act 2001,https://sso.agc.gov.sg/Act/FAA2001?ViewType=Pdf&_=20250318190919
Financial Holding Companies Act 2013,https://sso.agc.gov.sg/Act/FHCA2013?ViewType=Pdf&_=20250403160141
Financial Procedure Act 1966,https://sso.agc.gov.sg/Act/FPA1966?ViewType=Pdf&_=20240226181133
Financial Services and Markets Act 2022,https://sso.agc.gov.sg/Act/FSMA2022?ViewType=Pdf&_=20250531035025
Fire Safety Act 1993,https://sso.agc.gov.sg/Act/FSA1993?ViewType=Pdf&_=20241205120807
Fisheries Act 1966,https://sso.agc.gov.sg/Act/FA1966?ViewType=Pdf&_=20240814125854
Food Safety and Security Act 2025,https://sso.agc.gov.sg/Act/FSSA2025?ViewType=Pdf&_=20250529133547
Foreign Employee Dormitories Act 2015,https://sso.agc.gov.sg/Act/FEDA2015?ViewType=Pdf&_=20250102161918
Foreign Interference (Countermeasures) Act 2021,https://sso.agc.gov.sg/Act/FICA2021?ViewType=Pdf&_=20241227213819
Foreign Limitation Periods Act 2012,https://sso.agc.gov.sg/Act/FLPA2012?ViewType=Pdf&_=20240307023721
Foreign National Emblems  (Control of Display) Act 1949,https://sso.agc.gov.sg/Act/FNECDA1949?ViewType=Pdf&_=20240918201300
Foreign Recruiting Act 1875,https://sso.agc.gov.sg/Act/FRA1875?ViewType=Pdf&_=20240313115549
Foreshores Act 1920,https://sso.agc.gov.sg/Act/FA1920?ViewType=Pdf&_=20250509142000
Franciscan Missionaries of the Divine Motherhood Ordinance 1954,https://sso.agc.gov.sg/Act/FMDMO1954?ViewType=Pdf&_=20240313115549
Free Trade Zones Act 1966,https://sso.agc.gov.sg/Act/FTZA1966?ViewType=Pdf&_=20241205153413
Frustrated Contracts Act 1959,https://sso.agc.gov.sg/Act/FCA1959?ViewType=Pdf&_=20240313115549
Gambling Control Act 2022,https://sso.agc.gov.sg/Act/GCA2022?ViewType=Pdf&_=20250529133751
Gambling Duties Act 2022,https://sso.agc.gov.sg/Act/GDA2022?ViewType=Pdf&_=20250523134022
Gambling Regulatory Authority of Singapore Act 2022,https://sso.agc.gov.sg/Act/GRASA2022?ViewType=Pdf&_=20250308190407
Gas Act 2001,https://sso.agc.gov.sg/Act/GA2001?ViewType=Pdf&_=20240731030931
